title,original_text,Support,replaced_text,paragraph
"should the west intervene in syria?
","It's the necessary next step
",1,"Intervening in syria the necessary next step
","A US-led joint strike in Syria is the best reaction to the recent chemical attack by Assad’s regime, holds David A. Andelman of CNN. France has pushed hard for this option, publicly commenting that a red line has been crossed. President Trump, who is ultimately the biggest decision-maker, would do well to follow through with this plan. If he refrains from stronger military intervention, he risks mirroring the mistake Barrack Obama made in 2013 by not punishing Assad’s transgressions. Allowing the Syrian leader to go on without punishment would make Trump look weak and could open the door to more atrocities against civilians."
"should the west intervene in syria?
","It would prolong the carnage
",0,"Intervening in syria would prolong the carnage
","The half-hearted Western intervention in Syria since 2011 has dragged out the conflict, fueling the civilian death toll and doing little to improve the situation, argues Simon Jenkins of The Guardian. The sooner Assad wins, the sooner the carnage will end. After a US strike on an airbase after a Syrian chemical weapons attack in 2017, little changed. The international condemnation has done nothing to sway Assad or his allies. In fact, Western bombing campaigns led to over 8,000 civilian deaths in Mosul, by one estimate. Chemical weapons may be cruel, but cluster bombs are just as deadly. The West should stop prolonging these horrors by intervening."
"is zlatan's arrival a watershed moment for mls?
","Zlatan's presence will strongly boost MLS
",1,"Zlatan's presence will strongly boost MLS
","Zlatan Ibrahimovic’s incredible charisma and supreme ability make him a hugely valuable acquisition for MLS that could take its brand to the next level, asserts Jon Allsop of Columbia Journalism Review. His introduction broke all expectations. Coming on as a substitute for LA Galaxy, he scored a screamer from 40-yards away to tie the game at 3-3 and then headed home the winner in the dying minutes of the game. These kinds of displays turn heads. And it did - his goals were seen all over the world. Ibrahimovic knows how to market himself and has already generated a huge buzz that will strongly benefit MLS."
"is zlatan's arrival a watershed moment for mls?
","Previous European stars disappointed
",0,"Previous European stars disappointed
","Zlatan Ibrahimovic arriving at LA Galaxy doesn’t guarantee that the league will suddenly explode, suggests Kevin Mercer of The Mane Land. The MLS has welcomed a host of world class soccer talents, many of which disappointed deeply. Big stars from Europe tend to cross the pond for one big final payday, not glory on the pitch. World Cup-winners like Ricardo Kaká or Bastian Schweinsteiger were mere shadows of their former selves on US soil. They and others were touted as prophet-like figures that would dramatically take the MLS to the next level, but that never happened. Ibrahimovic’s arrival is nice but hardly earth-shattering.
"
"can facebook get out of the mess it's in?
","The problems are too deep-rooted
",0,"The problems are too deep-rooted
","The recent Facebook scandals weren’t the first and probably won’t be the last, suggests The Guardian’s Observer. The social media giant’s business model and incredibly large cashflow is built on extracting its users’ information and using it to target them with ads. The essence of this process cannot be dismantled without significantly hurting the company’s income. Its CEO, Mark Zuckerberg, has often dealt with controversies by apologizing, saying it won’t happen again, changing things negligibly and then still allowing big issues to persist. Drawing in more users and more information, and the problems that come with this, are an essential part of Facebook.
"
"can facebook get out of the mess it's in?
","These issues can be overcome
",1,"These issues can be overcome
","Facebook has a strong possibility to eliminate the misuse of the data that it collects, argues Jonathan Zittrawin of The New York Times. Reforming the way that users share their information and allowing them to see with whom it was shared would be a step forward. Social media platforms that process large amounts of sensitive data should be held responsible, like doctors or lawyers, and seen as fiduciaries. They should prioritize their users’ interests over their own. A new model based on transparency and protecting users might cost the company some of its revenue, but it would revolutionize Facebook in a way that makes it more of a positive force again.
"
"will conor mcgregor ever fight for ufc again?
","McGregor's UFC days are numbered
",0,"McGregor's UFC days are numbered
","Hurling a dolly at a bus full of UFC fighters and injuring two of them with cuts is an offense that should result in a lifetime UFC ban for Conor McGregor, holds Kevin Iole of Yahoo Sports. The injuries he caused could have been a lot worse. They risk canceling at least one planned fight. Alone, the legal repercussions of being charged with assault and criminal mischief could be dramatic. McGregor is likely to be taken to court for the damage he has done, which will be particularly costly. UFC has seen fighters do excessive things, but McGregor’s actions warrant a strong reaction. If he never enters a cage again, it will be highly deserved.
"
"will conor mcgregor ever fight for ufc again?
","He's too valuable to be banned
",1,"McGregor’s too valuable to be banned
","As Conor McGregor is the poster child of the UFC, he is far too valuable for the franchise to ban him outright, infers Robert Silverman of The Daily Beast. As bad as him throwing heavy objects at a bus with UFC fighters on it and injuring two of them with cuts is, he is far too popular to never fight for the UFC again. This isn’t the first of his offenses, and the organization made things worse by refusing to punish him accordingly. Its lack of other top fighters gives him huge leverage. A pay-per-view fight involving him is worth around $50 million, if not more. McGregor’s huge financial value makes it almost impossible for him to be completely done."
"should trump agree to an interview with mueller?
","It's a move that is far too risky
",0,"An interview with Mueller is a move that is far too risky
","Meeting Special Counsel Robert Mueller for an interview has many potential downsides and few upsides for President Trump, asserts Rich Lowry in Politico. As there is not enough evidence against him regarding possible collusion with Russia to force such an interaction, it would be silly to needlessly go into it. Mueller’s tactics have revolved around talking to people and catching them while lying. Being in a room with him while under oath could be highly risky for Trump. His best path forward is to wait for the investigation to conclude and then react to whatever allegations, if any, are made against him. An interview would be bad for Trump.
"
"should trump agree to an interview with mueller?
","It could prove his innocence
",1,"An interview with Mueller could prove his innocence
","President Trump has rightly communicated his desire to meet with Special Counsel Robert Mueller, infers Chris Cillizza of CNN. Convinced of his own innocence, this interview could prove to be an opportunity to put the whole affair behind him. Trump is also tired of the narrative that he is being pursued by Mueller. Engaging him so directly could end much of the fuss and put this tiring campaign of alleged collusion with Russia behind him. Furthermore, talking to Mueller, and coming out on top, is a prize that the president can’t resist. Given that he feels entirely innocent, this interview could provide the opportunity to prove this to Mueller and the American people.
"
"is trump right to want to leave syria?
","It would allow ISIS to re-emerge
",0,"Leaving Syria would allow ISIS to re-emerge
","President Trump’s desire to pull US troops out of Syria is based on the flawed belief that the fight against ISIS has been won. However, this is not the case, argues Robin Wright of The New Yorker. Leaving now risks the caliphate emerging again. It currently has around 3,000 fighters available and would benefit from US troops leaving. The power vacuum could benefit other entities, from Hezbollah to Russia. It could prove to mirror the mistake of leaving Iraq too early, without engaging in the proper nation building that ensures stability. America’s national interests are best served staying in Syria and preventing the rise of terrorists."
"is trump right to want to leave syria?
","Getting out of Syria is a good idea
",1,"Getting out of Syria is a good idea
","America’s longstanding involvement in the Middle East has been nothing but wasteful and costly for the US. President Trump is right to seek a way out, infers Jeffrey D. Sachs of The Boston Globe. The international desire for regime change in places like Syria does not guarantee increased regional safety and could end like past efforts to do the same. Iraq and Libya stand out. Participating in Syria’s civil war brought nothing positive, creating a wave of refugees and resulting in Assad staying in power and close to Iran and Russia. The American foreign policy establishment is wrong to call for more needlessly costly involvement.
"
"is criticism of scott pruitt's epa warranted?
","Pruitt is doing a terrible job
",1,"Pruitt is doing a terrible job
","Before Scott Pruitt the EPA (Environmental Protection Agency) stood for protecting the environment and human health. He has pulled the brakes on efforts to improve both of these areas, reversing progress. He is a terrible EPA administrator and should go, writes Gerry Connolly in The Hill. Pruitt has disavowed climate change, railed against the Paris Climate Agreement and generally made America less clean and more polluted. He has wasted taxpayer money, giving himself lavish traveling conditions. In an age where pollution and global warming are rising threats, Pruitt has fought science at every step in order to benefit his own interests.
"
"is criticism of scott pruitt's epa warranted?
","The criticism is highly partisan
",0,"The criticism is highly partisan
","The criticism of EPA chief Scott Pruitt is laced with partisan anger, suggests Mollie Hemingway of The Federalist. He has been doing a good job but gets attacked for going against left-wing values. For many years the EPA has enacted policy, based on environmentalist ideals rather than hard science. Overly harsh regulations of key American industries are one example. Pruitt’s popularity has suffered because he has dismantled these restrictions that are a burden on US businesses. He has fought for clean drinking water in places like Flint, Michigan. He is doing what is best for all aspects of the country’s health.
"
"is the sinclair broadcast group bad for democracy?
","It skews the content of news
",1,"Sinclair skews the content of news
","The number of news networks that the Sinclair Broadcast Group has acquired risks skewing the media with its agenda and hurts the quality of information that the American people are exposed to, asserts John Nichols of The Nation. It has been accused of routinely telling its networks what kind of content to put out, often along a right-wing narrative. Local broadcasters are an important asset to America's media diversity. Offering commentary that is independent from mainstream voices is hugely valuable. Companies like Sinclair gobbling up smaller outlets is bad for American democracy and needs to be prevented through smart regulation.
"
"is the sinclair broadcast group bad for democracy?
","Criticism of Sinclair is unfair
",0,"Criticism of Sinclair is unfair
","A lot of the criticism lobbed at the Sinclair Broadcast Group is exaggerated and stems from it not adhering to left-wing ideals, believes George Neumayr of the American Spectator. Much of the mainstream media has a liberal bias. From NPR to PBS, opinions tend to lean towards the left, rather than the right. The widespread criticism of President Trump is one example of many outlets speaking in unison. MSNBC and CNN are also owned by Jeff Zucker, who owns a vast media empire that tends to cover issues from a liberal perspective. Criticism of Sinclair is unfair and motivated by left-wing anger at conservative ideas being able to spread.
"
"is wes anderson's 'isle of dogs' worth watching?
","Its strangeness ruins it
",0,"‘Isle of dogs’s strangeness ruins it
","Wes Anderson’s Isle Of Dogs is an interesting movie concept that gets too weird and alienating to be a really good film, holds Odie Henderson of Roger Ebert. It tries to portray a Japanese world of dogs with stop motion in a way that is inspired by Hayao Miyazaki. Unfortunately, this results in a blend that is confusing, off-putting and often reminds of white-washing. The story doesn’t draw an audience in and isn’t fleshed out by other elements. Anderson is cold and distant, being artistic and ironic before creating something engaging. His attempt at portraying Japanese culture falls direly flat. It’s just a strange movie.
"
"is wes anderson's 'isle of dogs' worth watching?
","It's amazing and beautiful
",1,"‘Isle of dogs' is amazing and beautiful
","The movie Isle Of Dogs is a beautifully animated masterpiece that gives the whole genre a new standard to aspire to, infers Dani Di Placido of Forbes. The characters, which are dogs, are highly relatable and fun to watch. Though childishly playful in appearance, the film doesn’t shy from darker, more adult themes that deliver deep messages. Even though its characters are dogs, the film offers great social commentary about humanity, friendships and hate. The incredibly high-quality animation makes this great tale even more magnificent to behold, every frame is stunningly gorgeous and colorful. It's a movie that is highly worth watching.
"
"do cell phones cause cancer?
","Many studies indicate they do
",1,"Many studies indicate they do
","While the use of cellphones cannot definitively be linked to brain cancer, many studies that have suggested this have gone under society’s radar, report Mark Hertsgaard and Mark Dowie of The Week. The mobile phone industry has selectively funded studies and scientists in order to get results that would benefit it. When links between phones and cancer were published, industry-backed scientists would often dispute these claims, say Hertsgaard and Dowie. Particularly worrying is the impending introduction of 5G, which will increase the radiation levels humans will be exposed to. More studies need to examine the full danger of our cellphones."
"do cell phones cause cancer?
","It simply hasn't been proven
",0,"The theory of cell phones cause cancer simply hasn't been proven
","The assertion that cellphones cause brain cancer cannot be believed as it hasn’t been proven, asserts Matt Simon of Wired. While the radio waves they emit are a form of radiation, it is so low that it’s far from dangerous. One much-cited study alleging phones’ link to cancer was done on mice. They are genetically different from humans as were exposed to up to seven times the radiation a cellphone emits. No study has been able to definitively prove this connection. Brain tumor rates are steady over the past 40 years. The UN says phones possibly cause cancer, but before that claim can be made outright, more proof is needed."
"should trump send troops to the mexican border?
","This is wrong and needlessly wasteful
",0,"Sending troops to the Mexican border is wrong and needlessly wasteful
","President Trump’s suggestion to send troops to the Mexican border to keep out immigrants is unnecessary, a waste of taxpayer money and likely politically motivated, argues the New York Times’ editorial board. Immigration from Mexico has been falling considerably over recent years. People arrested at the border reached a 46-year low in 2017. Trump is stoking needless fear and xenophobia to embolden his supporters. It’s probably a reaction to his failed border wall project that was supposed to be funded by Mexico. Sending troops to the border is wasteful for government agencies that are already underfunded."
"should trump send troops to the mexican border?
","He's right to tackle illegal immigration
",1,"Trump’s right to tackle illegal immigration
","President Trump is right in addressing America’s growing issue with illegal immigrants coming in by using asylum loopholes and then staying in the country whether or not they are accepted, suggests Jessica Vaughan of Fox News. The 1000-man strong migrant caravan coming from Central America through Mexico likely wants to replicate this strategy. Trump has called out Mexico’s laissez-faire attitude in letting migrants reach the US border. He understands the illegal immigration issue as well as the flawed policy that has exacerbated the problem. Ensuring that immigrants only come in legally is a good thing."
"have gop tax cuts provided the promised benefits?
","Promised growth isn't happening
",0,"Promised growth isn't happening
","President Trump’s tax cuts aren’t producing any real gains.This week, his tax plan came into effect while the Stock Exchange has dropped significantly. His reforms were unnecessary for an economy that was already doing well and did more damage than good, asserts Philip Bump of The Washington Post. The president, who praised his reforms when stocks were surging, has gravely misunderstood how they will affect the American economy. His theory, that tax reform would spur new investment and create more economic growth, was wrong. The hope that businesses would reinvest the saved money was wrong.
"
"have gop tax cuts provided the promised benefits?
","They are boosting the economy
",1,"GOP tax cuts are boosting the economy
","The Republicans’ tax cuts are already showing their value by boosting small businesses, believes Chris Stansbury of The Daily Signal. They are the backbone of the US economy; two out of three new jobs are created by them. Tax cuts have served these entrepreneurs well, boosting their productivity and allowing them to create new jobs and offer higher wages. Around 95,000 new jobs were created by small businesses in February. Additionally, up to 80% of Americans will see their taxes go down, which boosts consumer spending, a plus for the whole economy. The GOP’s tax cuts are proving to be highly beneficial already."
"has mlk's death changed america?
","America is much more equal now
",1,"America is much more equal now
","The assassination of Martin Luther King Jr. sparked huge social changes that are still continuing to shape the US today, suggests Kevin Cokley of Dallas News. His brand of peaceful activism, and seeing the best in white America, notwithstanding its treatment of black people, made his assassination that much more earth-shattering. Black people became much more politically engaged thereafter, using their rage to propel social change. This wave has continued until today, as the country’s youth is involved in politics and black rights. MLK’s uniting message about social justice lives on today, continuing to improve the country.
"
"has mlk's death changed america?
","Black people still suffer too much
",0,"Black people still suffer too much
","Since Martin Luther King Jr. was killed, America has progressed at a negligible pace in terms of black rights, infers Rigel C. Oliveri of The Huffington Post. Segregation, which was one of his key issues, was tackled seriously but has persisted in recent years as people haven’t focused on it anymore. Metropolitan areas still have high levels of segregation as well as income inequality along ethnic lines. Systemic racism has kept minorities poor. Predatory lending in the 2000s and the foreclosure crisis hit minority home-ownership and savings particularly hard. MLK’s death couldn’t prevent the present suffering of black Americans."
"do trump's trade policies benefit american workers?
","Local workers will thank Trump
",1,"Local workers will thank Trump
","President Trump’s trade decisions have already reaped benefits for US workers, believes Stephen Moore of Investor’s Business Daily. Trump correctly understands that other nations have taken advantage of the current trade imbalance, selling their products in America while not buying from it. South Korea agreed to increase its purchases in the US and reduce trade barriers. Local car producers like Ford or GM will see more business because of this. China has also agreed to better police intellectual property theft and cease making foreign companies share technology with it. This will advance America’s workers.
"
"do trump's trade policies benefit american workers?
","His trade policies will cost them
",0,"Trump’s trade policies will cost American workers
","President Trump’s trade policies are hitting American workers where it hurts, asserts Sophia Tesfaye of Salon. The tariffs that China will implement after Trump’s trade barriers on the country will hurt manufacturers and farmers the most. Higher prices on steel, for example, would raise their expenses significantly. These and other tariffs are aimed at areas that are important to Trump. He will see his support there dwindle as his policies directly cause an economic downturn. But the whole of America will suffer from higher prices across the board. The stock market has already dropped, predicting more economic losses.
"
"does big tech need to be regulated?
","No, it risks crippling the tech industry
",0,"No, regulating big tech risks crippling the tech industry
","Regulating big tech too heavily now could shackle an industry that is set to grow at incredible speeds over the next decades. That would be a huge mistake, infers Mark P. Mills of Real Clear Politics. Limiting tech companies’ playroom now could be counterproductive by benefiting big players that can afford the teams of lawyers to navigate new hurdles. It would risk choking the next Facebook by making it impossible for small startups to compete. Giving these companies the space to succeed will be crucial as the internet of things and AI revolutionize the world. Too much oversight could encourage them to go abroad instead.
"
"does big tech need to be regulated?
","Yes, they can't be trusted anymore
",1,"Yes, big techs can't be trusted anymore
","For too long, tech companies have done what they wanted; it is time to properly regulate them, writes Adonis Hoffman in The Hill. As their technologies have taken over people’s lives and recorded increasingly personal details, there needs to be some oversight as to what they are allowed to do with this information. The recent scandals involving the industry indicate that it doesn’t know what to do with all this power. Big tech has been given too much leniency by Congress, which has focused on creating profits rather than protecting Americans. Proper rules need to be established for these companies.
"
"is the nfl's new head-lowering rule good?
","It's a bad idea that hurts the game
",0,"The new head-lowering rule is a bad idea that hurts the game
","The NFL’s new rule to prevent injuries by disallowing players from lowering their heads before impact comes with good intentions but will create more problems than it solves, believes Nick Canepa of The San Diego Tribune. It would cripple the flow of the game by penalizing movements that players often make automatically, without thinking. Officials will have a hard time identifying when helmets are lowered in a supposedly dangerous way or not. Many players have already spoken out against this rule, claiming that it is overly restrictive and will even cause more injuries. It’s a poor attempt to improve football.
"
"is the nfl's new head-lowering rule good?
","It rightly prioritizes safety
",1,"The new head-lowering rule rightly prioritizes safety
","Even though the NFL’s proposed rule to penalize players lowering their helmets before ramming into each other is controversial, it will ultimately make the sport safer, holds Alex Marvez of Sporting News. Steelers linebacker Ryan Shazier endured a spinal contusion after going into a collision with his head down. It left him temporarily paralyzed. The NFL has gotten increasingly dangerous in recent years and is rightly seeking to protect players. Removing collisions that risk great damage to players' health is a right step forward even though it may be controversial. Football is in need of such changes to remain popular.
"
"who would win a trade war: china or america?
","China is more ready for a trade war
",1,"China is more ready for a trade war
","Any trade war between the US and China would have dire consequences on either side, but the Asian giant is likely to weather such a storm better, asserts Winter Nie in The Hill. Boeing and Apple are two large American companies that rely heavily on Chinese consumers. Any interference would affect their bottom lines dramatically. Meanwhile, China is increasingly catering to consumers in Asian, South American and African countries for its biggest industries like electronics. The US economy simply depends more on China than vice versa. A trade war would see prices skyrocket and do significant damage to American businesses.
"
"who would win a trade war: china or america?
","Actually, America would win it
",0,"Actually, America would win it
","The notion that China would have the upper hand in any potential trade war with the US is wrong, argues Gordon G. Chang of The Daily Beast. America’s economy is still significantly bigger and buys more Chinese products than the other way around. In short, it can do a lot more economic damage by purchasing elsewhere instead. The trade surplus between the two countries strongly favors China, so any changes would hurt its profits. The US economy is more stable and likely growing faster, as China is rumored to overstate its performance. A real trade war would hurt the latter far more than the former of the two countries.
"
"does mueller's investigation need boundaries?
","He is going far beyond his role
",1,"Mueller is going far beyond his role
","Special counsel Robert Mueller is not allowed to investigate anyone he would like. His purpose is to look into individuals who have something to do with the 2016 Trump campaign’s alleged ties to Russia, holds Robert Barnes of Law & Crime. Attorney general Jeff Sessions is right to remind Mueller of this, as he has pursued Paul Manafort for reasons beyond this role. The special counsel being able to investigate anyone he wants without the proper connections goes against his constitutional boundaries. Recently, Mueller has overstepped his bounds and needs to be reeled in so that he may fulfill his role according to the law."
"does mueller's investigation need boundaries?
","Mueller is doing things by the book
",0,"Mueller is doing things by the book
","The accusations that Special Counsel Robert Mueller is somehow overstepping his bounds misunderstand his mission, argues Michael Zeldin of CNN. It is important for the Russia investigation that Mueller has a certain degree of independence, given the intricacy and widespread nature of the issue. In particular, he needs to find out whether any person associated with the Trump campaign had any ties to the Russia government. Details, like whether anyone sought to stifle this investigation, are crucial and difficult to verify. Mueller is going about his probe in the correct manner and shouldn’t be hampered.
"
"is trump right to criticize amazon?
","Amazon deserves this criticism
",1,"Amazon deserves this criticism
","Whatever motivations President Trump may have had to criticize Amazon, he is justified in doing so, holds Damon Linker of The Week. The tech giant has long decimated American industries, such as retail or book stores, often by lowering prices below profitability to starve out the competition. Trump is right that Amazon often pays no to little taxes on its immense profits. The left has acted overly partisan, coming to the online retailer’s defense and criticizing the president’s comments. There is a strong case for breaking up Amazon, which is building a dangerous and widespread monopoly. Trump's condemnation is appropriate.
"
"is trump right to criticize amazon?
","No, Trump is wrong about this
",0,"No, Trump is wrong about this
","President Trump’s anger at Amazon stems from a poor understanding of the online retailer’s business ecosystem and value, suggests Jay Willis of GQ. He’s wrong that the postal service is being taken advantage of, as it profits heavily from the online retailer’s business. At a time when Facebook is a much more discussed issue, Trump criticizes Amazon because instead of profiting him, its owner, Jeff Bezos, has amassed riches far superior to his own. Some wealthy individuals close to the president may have encouraged him to take this stance as a result of the tech giant threatening their own, more traditional businesses.
"
"should we dismiss the stormy daniels story?
","Daniels deserves to tell her story
",0,"Daniels deserves to tell her story
","The country needs to listen to Stormy Daniels’ story and stop the wave of personal attacks, which she doesn’t deserve, writes Sydney Leathers in the Independent. The way that sex workers are denigrated in society is shameful. Much attention is focused on their apparent moral failings, while ignoring those of the politicians who get into bed with them with wives and kids at home. Daniels is incredibly brave and justified in sharing her story. Women like her don’t seek fame, it’s simply not worth the ensuing witch hunt, but justice and having their truths told. Holding men like Donald Trump accountable for their actions is a good thing.
"
"should we dismiss the stormy daniels story?
","It's not a matter of national concern
",1,"The story is not a matter of national concern
","Stormy Daniels’ allegations have gotten far too much traction in the media and aren’t really worth all this buzz, believes Paul Mulshine of NewJersey.com. Politicians’ personal and sex lives should not be a matter of such public discussion, even when concerning President Trump. The apparent encounter occurred a long time ago and was entirely consensual. It appears that Daniels may be seeking attention by revealing details, like having spanked him with a magazine. Accusations that the payment made to her counts as a campaign contribution have also been dismissed. This story has been exaggerated to hurt the president.
"
"is gerrymandering a significant issue?
","It warps US election results
",1,"Gerrymandering warps US election results
","Gerrymandering undermines democracy by allowing politicians to choose their voters, instead of the other way around, infers Matt Ford of the New Republic. This practice is getting abused more and more often, which must cease indefinitely. In particular, Republican gerrymandering in 2010 boosted their state assembly seats in 2012 elections. In Pennsylvania, even though 51% votes were blue, Democrats only got 23% of seats. By one estimate, in order to win back the House of Representatives, Democrats would need to win by 11 percentage points, which has few historic presidents. Gerrymandering is a huge issue."
"is gerrymandering a significant issue?
","It's not as significant as some say
",0,"Gerrymandering is not as significant as some say
","Gerrymandering is not the immense problem that Democrats present it as, holds Josh Kraushaar of National Journal. None withstanding its supposed sway, they are set to win the House by historic margins in the coming midterms. It is unlikely that the practice has been consequential, as Democrats likely wouldn’t have won certain districts anyway. Furthermore, historic patterns show that parties in power always suffer during midterms. Democrats should focus on proposing more electable candidates that voters want to support. Conor Lamb’s win in Pennsylvania is a great example of moderate ideas succeeding.
"
should we repeal the 2nd amendment?,"Repealing it is the best step forward
",1,Repealing the 2nd amendment is the best step forward,"The way the Second Amendment is enforced endangers the country by putting very few limits on gun sales. It would behoove America to do away with it, asserts John Paul Stevens in The New York Times. Too often it is used to prevent meaningful gun reform that could save lives while still respecting individual liberties. In the past, the Second Amendment was enforced, while still limiting what guns citizens could access. Sawn-off shotguns were forbidden, for example. The current gridlock in properly regulating weapons of war would be solved by ending this Amendment.
"
should we repeal the 2nd amendment?,"No, this proposal is too extreme
",0,"No, repealing the 2nd amendment is too extreme","Calling for a repeal of the Second Amendment is excessive and prevents much-needed gun reform by embattling gun rights activists, holds Matthew Yglesias of Vox. The idea that liberals want to revoke a law that many see as fundamental to the Constitution has created huge resistance to even small changes. The Supreme Court has liberties to adjust gun laws. It just hasn’t wanted to, so far. With two additional progressive justices that could happen. Simply put, there are far easier and more effective ways of making the country safer from guns that outright banning the Second Amendment.
"
is far cry 5 a good game?,Far Cry 5 is an amazing spectacle,1,Far Cry 5 is an amazing spectacle,"Far Cry 5 is a welcome addition to the series, offering an immersive new world, exciting action and a refreshing plot, infers Daemon Hatfield of IGN. With an even bigger open world than previous titles, it is very fun and consuming. Rather than making any controversial social commentary, given the game’s American setting, it refrains from stereotypes and presents characters that have substance and are well-written. It doesn’t revolutionize the series but makes sure to do everything right. Traveling through its world is exciting, as enemies, side quests and animals are set to cross one’s path. Far Cry 5 is an all-round success."
is far cry 5 a good game?,"It doesn't go beyond past titles
",0,Far Cry 5 doesn't go beyond past titles,"The fifth installment of the Far Cry series fails to innovate or impress in any meaningful way, believes Ben Kuchera of Polygon. The combination of a serious story with constant immature jokes is just a weird cocktail, plot-wise. With immense potential for social commentary, given that it's based in the US, with religion and guns featuring heavily, it falls flat, being anticlimactically apolitical. The unclear plot, which never gets fleshed out, doesn’t help it either. A weak story is slightly lifted up by fun gameplay, but it’s much of same of what Far Cry always has been. Ultimately, the game doesn’t manage to really wow its audience.
"
"was trump right to fire shulkin?
","This change is highly regrettable
",0,"Firing Shulkin is highly regrettable
","The firing of Veterans Affairs (VA) Secretary Dr. David Shulkin was a mistake that will ultimately result in worse care for veterans, suggests John B. Wells of The Hill. He was highly praised for his work under the Trump presidency. With an open-minded and problem-solving approach, he constantly strove to learn while improving the VA’s services. Shulkin stood up for veterans, working to restore benefits that had been halted. Ultimately, his revolutionary approach made him unpopular in his department. People didn’t like that he was trying to change so much and sought to have him removed. The VA’s flaws will only grow from here.
"
"was trump right to fire shulkin?
","Shulkin was simply too ineffective
",1,"Shulkin was simply too ineffective
","The US Veterans Affairs department was woefully inadequate under Secretary Dr. David Shulkin; his resignation was necessary, writes Arizona Congressman Andry Biggs in The Daily Caller. While Shulkin worked to change things, he improved very little. Veterans didn’t receive the support they were promised. Mismanagement and corruption still weigh down the agency. Shulkin simply didn’t push hard enough to change things for the better. Particularly in Congress he could have been more effective at enacting change. He failed at his task, to improve the care that veterans get. New leadership can offer a much-needed fresh start.
"
"is expelling russian diplomats a meaningful gesture?
","It's a highly necessary move
",1,"Expelling Russian diplomats is a highly necessary move
","The expulsion of over 100 Russian diplomats by 20 countries is a show of strength and unity in the face of Russian posturing, suggests The Guardian in an editorial. It came in response to the nerve agent poisoning of a former Russian spy, Sergei Skripal, and his daughter on British soil. Most powerful is the participation of the US, whose president has refused to openly condemn Russia and is under investigation for collusion with the country. The Western allies are showing that they will no longer tolerate such provocations and are willing to push back. Their unity and firmness surprised most and sent a highly necessary message."
"is expelling russian diplomats a meaningful gesture?
","Tougher action is needed
",0,"Tougher action is needed
","The UK and its allies expelling Russian diplomats for the poisoning of Sergei Skripal and his daughter in Britain isn’t consequential enough, asserts Yasmeen Serhan of The Atlantic. A stronger reaction, that goes after Russian oligarchs’ illicit funds, would properly punish the government’s misdeeds. The country doesn’t rely on diplomatic cover to spy on Western nations and will simply continue to do so under the radar. Russia uses the UK’s housing market to funnel dirty money, among other ways. Shutting this off and hurting the wallets of those close to Putin could be a meaningful step to punish Russian provocation abroad.
"
"should the national census ask about citizenship?
","It's wrong and politically motivated
",0,"Asking about citizenship in national census is wrong and politically motivated
","The government’s decision to ask for citizenship status in the national census is an effort to undermine an essential part of US democracy for political gain, argues the editorial board of The New York Times. The census is necessary as it determines how many House seats, and how much federal funding, a state receives. This would empower Republican areas and weaken Democratic ones. The argument that it would allow the government to better protect minorities’ rights is fallacious as it will reduce the census responses by minority voters. This would reduce funding of more diverse areas while going against Constitutional norms.
"
"should the national census ask about citizenship?
","It's justified; illegals shouldn't take part
",1,"Asking about citizenship in national census is justified; illegals shouldn't take part
","The decision to ask people about their citizenship in the national census is justified, holds Charles Hurt of The Washington Times. Illegal immigrants taking part in the census dilutes the representation of real Americans. They are breaking the law by being in the country and shouldn’t be taking part in a census by the US government to find out more about its citizens. The criticism from liberal politicians is deeply misplaced and likely motivated by trying to increase their own representation in Congress. There is a line between asserting the rights of American minorities and protecting illegal immigrants. The change still allows the former to happen.
"
"is trump right to impose tariffs on china?
","He's punishing Chinese misdeeds
",1,"Trump is punishing Chinese misdeeds
","President Trump is right to impose tariffs on imports from China as a reaction to its unfair trade practices, believes the editorial board of USA Today. The country’s state-run businesses have long limited foreign access to their local marketplace. Meanwhile, China has freely exported to America and elsewhere. The government also forces international companies to share trade secrets in order to sell to its people. Some have accused China’s leadership of tolerating the theft of foreign and US intellectual property. Trump’s tariffs are justified as they seek to make the country’s markets freer and benefit American companies.
"
"is trump right to impose tariffs on china?
","This will hurt America's economy
",0,"Imposing tariffs on China will hurt America's economy
","The tariffs on Chinese imports proposed by President Trump are highly risky and could cause an incredibly costly trade war with the country, infer the editors of Bloomberg. Ultimately, American consumers and producers will bear the additional costs, as they will be required to pay more for Chinese products. Trump seems convinced that America would have the upper hand in a trade war and appears open to pushing even further, until the country relents. This could cause China to respond with its own tariffs, causing a potential trade war and economic pain for both countries. The tariffs are bad foreign and economic policy.
"
"do stormy daniels' revelations carry weight?
","They could lead to Trump facing jail
",1,"Daniel’s revelations could lead to Trump facing jail
","Stormy Daniels' interview on 60 Minutes raised several legal issues that could come to haunt President Trump, assert Norman Eisen and Virginia Canter in USA Today. If the $130,000 payment really was made to her through Trump’s lawyer, this would have violated campaign finance laws, as it happened shortly before the 2016 presidential election. Additionally, the president didn’t put this transaction on his 2017 financial disclosure form. This could result in a five-year prison sentence, particularly because of the size of the payment. The whole affair might be relevant to the Russia investigation, as it could have been used to coerce Trump."
